transaction_id,user_id,session_id,typing_speed,mean_dwell_time,mean_flight_time,typing_variability,device_known,location_known,hour_of_day,paste_used,screens_visited,session_duration,amount,amount_deviation,new_recipient,time_since_previous_transaction,transaction_frequency,transaction_label
T000003,U0001,S000003,0.2980970792553882,0.1919341718173879,0.4776945532411396,0.4027570643607923,False,True,18,True,8,173.0,70500,0.0,False,0.0,1.0,legitimate
T000022,U0001,S000023,0.3049071542432342,0.1987061663723264,0.49481697647899,0.3907248407664196,False,True,13,False,7,198.0,25800,-0.6340425531914894,False,570.9280555555556,0.0035030683472961,legitimate
T000011,U0001,S000011,0.3073488150191907,0.207418428228578,0.4702882374783937,0.3782249039997888,False,True,14,False,9,97.0,3500,-0.9273104880581516,False,24.58277777777778,0.0050376917296494,legitimate
T000001,U0001,S000002,0.3024180581275785,0.1945001674956102,0.4803182971034813,0.4146069547624768,False,True,20,False,8,154.0,3400,-0.8977955911823647,False,197.8786111111111,0.00504166021871,legitimate
T000002,U0001,S000002,0.3024180581275785,0.1945001674956102,0.4803182971034813,0.4146069547624768,False,True,20,False,8,154.0,2100,-0.9186046511627908,False,0.0261111111111111,0.0063018678736377,legitimate
T000013,U0001,S000014,0.3288222354445174,0.189511112515204,0.5103278579962953,0.3730834625889952,True,False,10,False,6,203.0,2700,-0.8717948717948718,False,13.9475,0.0074316008872505,legitimate
T000023,U0001,S000024,0.2895397468648942,0.2052852482991525,0.4989565991072975,0.4001033502102509,False,True,21,True,3,235.0,8200,-0.5444444444444444,False,83.36305555555556,0.0078587569317666,legitimate
T000018,U0001,S000019,0.2945877360434849,0.1941945146793108,0.4985565996677941,0.3941727573618133,False,True,21,True,8,193.0,22900,0.3795180722891566,False,288.0911111111111,0.0067864634560724,legitimate
T000019,U0001,S000020,0.3068486321201634,0.2054005499909209,0.4793672168301887,0.3779436827929606,False,True,14,False,5,116.0,32000,0.8404025880661394,False,497.1636111111111,0.0053699898119359,legitimate
T000024,U0001,S000026,0.3239602945396608,0.183926760918465,0.5108283168470448,0.3843050708571486,False,True,14,False,4,159.0,34000,0.7884278199883111,False,23.52055555555556,0.0058840787453182,legitimate
T000007,U0001,S000007,0.3049448547349697,0.2008524674261134,0.4876573159351489,0.3996468259928968,False,True,16,True,5,157.0,2000,-0.9024865919063872,False,1.9430555555555555,0.0064650950173055,legitimate
T000012,U0001,S000013,0.3011004050336188,0.1878316948019189,0.460690986847334,0.3812226031219136,False,True,12,False,9,196.0,134400,6.138580395943988,False,20.70805555555556,0.0069680240280695,legitimate
T000009,U0001,S000009,0.3187710595044855,0.1931567277831527,0.5083335595450682,0.3724838880451503,False,False,17,False,3,159.0,57100,1.0064421669106882,True,244.62166666666667,0.0066098081926877,legitimate
T000020,U0001,S000021,0.2817179067798722,0.184450463603876,0.5358212106972404,0.3655718990259156,True,True,20,False,7,290.0,14300,-0.5336176618163573,False,146.97555555555556,0.0066233006929891,legitimate
T000005,U0001,S000006,0.3126393114365237,0.1932158174043082,0.4846353573995094,0.4074847458008311,True,True,15,False,9,112.0,105200,2.566965366916929,True,138.67694444444444,0.0066594842895366,legitimate
T000006,U0001,S000006,0.3126393114365237,0.1932158174043082,0.4846353573995094,0.4074847458008311,True,True,15,False,9,112.0,56500,0.6357845975680371,False,0.0058333333333333,0.007103431512376,legitimate
T000021,U0001,S000022,0.3000502113384249,0.2020418564501336,0.5023540496919775,0.383374547006525,False,True,9,True,5,97.0,15300,-0.5739644970414202,False,114.69916666666668,0.0071816875416731,legitimate
T000004,U0001,S000004,0.3096067404335061,0.1907328706853325,0.4983524670922165,0.3930027846402337,False,True,9,False,7,232.0,6400,-0.8155619596541787,False,336.03777777777776,0.0066588500535893,legitimate
T000017,U0001,S000018,0.2989733202580915,0.203127923734873,0.4675699573663334,0.3913216137777031,False,True,15,True,6,150.0,1700,-0.948683548549388,False,413.56444444444446,0.0060961251994386,legitimate
T000025,U0001,S000027,0.3241613117957065,0.1993899249233086,0.5101204555223181,0.384929334567804,False,True,11,False,3,239.0,42700,0.3566889632107023,False,20.030555555555555,0.00637599678083,legitimate
T000027,U0001,S000030,0.3074880305898166,0.2025846073507458,0.4824905936173564,0.406621009375396,False,True,8,False,8,194.0,10400,-0.6753550803808335,False,69.25694444444444,0.0065501746409988,legitimate
T000010,U0001,S000010,0.2854956429993809,0.1965144606555837,0.4833092783172628,0.3952687916502413,False,True,15,False,3,165.0,13900,-0.5516817693134695,False,102.85638888888889,0.0066487798817323,legitimate
T000016,U0001,S000016,0.3052441779814073,0.1863517673516356,0.4667450407516279,0.4229759836257716,True,True,8,False,9,157.0,9100,-0.6989473684210527,False,329.17944444444447,0.006322055590415,legitimate
T000015,U0001,S000016,0.3052441779814073,0.1863517673516356,0.4667450407516279,0.4229759836257716,True,True,8,False,9,157.0,15300,-0.4779706275033377,False,0.0363888888888888,0.0065968615889106,legitimate
T000008,U0001,S000008,0.3084355788637283,0.201164376989034,0.4918219661897394,0.3824535686659633,False,True,14,False,7,93.0,31600,0.1000870322019147,False,78.15583333333333,0.006727212576479,legitimate
T000014,U0001,S000015,0.2875334168532337,0.1973018501054912,0.5249552557589392,0.3938488137473448,False,True,14,False,6,197.0,23100,-0.1990291262135922,False,143.11555555555557,0.0067368595610936,legitimate
T000026,U0001,S000028,0.325091127977611,0.2016768982117671,0.4627182502538516,0.389415184177885,False,True,16,False,4,270.0,7900,-0.7239618330869507,False,74.58361111111111,0.0068633331721062,legitimate
T000060,U0002,S000060,0.3534524584933213,0.1479278484902771,0.3837388636618887,0.3607470292655599,True,True,9,False,3,221.0,44300,0.0,False,0.0,1.0,legitimate
T000049,U0002,S000051,0.3799707650413715,0.1506521266165818,0.3609072780793904,0.3944309991611628,False,True,15,True,9,194.0,1100,-0.9751693002257336,False,126.80333333333331,0.0157724560342788,legitimate
T000050,U0002,S000051,0.3799707650413715,0.1506521266165818,0.3609072780793904,0.3944309991611628,False,True,15,True,9,194.0,103600,3.563876651982379,True,0.0086111111111111,0.0236570775185478,legitimate
T000039,U0002,S000042,0.3417076224298217,0.1460126019063351,0.3561825506191896,0.3553855977551629,True,True,14,False,5,233.0,2800,-0.9436241610738256,False,118.32916666666668,0.016317132535909,legitimate
T000038,U0002,S000041,0.3662052614061055,0.1433848725794694,0.3936614190439337,0.3677444081107604,True,True,20,False,3,219.0,2000,-0.9472990777338604,False,78.72305555555556,0.0154385712116962,legitimate
T000033,U0002,S000034,0.371620758867858,0.1528568978592657,0.3809052291899961,0.3941070664919983,False,True,10,True,3,229.0,4300,-0.8602080624187256,False,493.5861111111111,0.007339895970567,legitimate
T000034,U0002,S000035,0.3797717664167426,0.1463128826136001,0.3900621412390139,0.4050164173735691,False,True,19,False,6,133.0,47900,0.8178368121442126,False,176.79944444444445,0.0070404847429622,legitimate
T000045,U0002,S000049,0.3529059452112323,0.1522285990544426,0.4179185261168994,0.3615013250429121,False,True,21,False,9,276.0,22600,-0.2320388349514562,False,2.3494444444444444,0.0080272995077425,legitimate
T000044,U0002,S000049,0.3529059452112323,0.1522285990544426,0.4179185261168994,0.3615013250429121,False,True,21,False,9,276.0,1200,-0.958005249343832,False,0.0263888888888888,0.009030472828868,legitimate
T000042,U0002,S000047,0.3503641651508655,0.1427377309439803,0.3859062147252866,0.3905182050517264,False,False,15,False,5,234.0,124200,3.864229765013055,False,65.48555555555555,0.0094152107961083,legitimate
T000037,U0002,S000038,0.3851573957140601,0.150268972473083,0.3849703372241078,0.3907963067776073,False,True,15,False,7,304.0,22800,-0.3559322033898305,False,0.5438888888888889,0.0103514310853475,legitimate
T000036,U0002,S000038,0.3851573957140601,0.150268972473083,0.3849703372241078,0.3907963067776073,False,True,15,False,7,304.0,23200,-0.3227176220806794,False,0.0491666666666666,0.0112919478217911,legitimate
